ID	Node_ID	X	Y	Z	Arc_Num	Arc_IDs
0	-4000060	38429893.7934093	3737722.3094	-60	3	778061,-779369,-779370
1	15005940	38431488	3738544.35155832	-60	4	778061,778062,-781541,-781542
21	-17000060	38431872.1061914	3737722.3094	-60	3	778062,-779106,-779107
30	14880	38429177.67	3739796.96439864	-120	3	778063,-779894,-779895
31	-3015120	38429728.7244396	3739683.5	-120	4	778063,778064,-782105,-782106
38	1000056	38431053.6097304	3739314.7552261	-120	4	778064,778065,-781822,-781823
51	15009880	38431488	3739030.09812105	-120	4	778065,778066,-781540,-781541
57	-26000120	38433254.8715505	3737722.3094	-120	3	778066,-779105,-779106
79	-1030180	38429388.1101036	3741644.6906	-180	3	778067,-780157,-780158
80	1000058	38430471.450128	3740546.42782993	-180	4	778067,778068,-782387,-782388
97	-13015180	38431226.7382012	3739683.5	-180	4	778068,778069,-782104,-782105
110	1000057	38431311.4267615	3739533.61068739	-180	4	778069,778070,-781821,-781822
113	15011820	38431488	3739411.96461044	-180	4	778070,778071,-781539,-781540
117	1000055	38432089.230968	3739173.12766232	-180	4	778071,778072,-781259,-781260
125	30006820	38433798.33	3738702.35243685	-180	3	778072,-778842,-778843
143	-7030240	38430261.8736488	3741644.6906	-240	3	778073,-780158,-780159
144	15014760	38431488	3739756.84372718	-240	4	778073,778074,-780423,-780424
167	1000052	38431577.136186	3739759.16583569	-240	4	778074,778075,-780702,-780703
169	-16015240	38431741.6742824	3739683.5	-240	4	778075,778076,-780980,-780981
172	30010760	38433798.33	3739225.15130791	-240	3	778076,-778841,-778842
195	-9030300	38430711.0212533	3741644.6906	-300	3	778077,-780159,-780160
196	15018700	38431488	3740269.99394391	-300	4	778077,778078,-780424,-780425
213	1000053	38431964.2268899	3740087.7590019	-300	4	778078,778079,-780703,-780704
219	30016700	38433798.33	3739997.78791319	-300	3	778079,-778578,-778579
234	-12030360	38431164.0386603	3741644.6906	-360	3	778080,-780160,-780161
235	15023640	38431488	3740882.0636604	-360	4	778080,778081,-780425,-780426
244	1000054	38432461.4149857	3740509.81153121	-360	4	778081,778082,-780704,-780705
259	30022640	38433798.33	3740746.75066157	-360	3	778082,-778577,-778578
272	-14027420	38431356.5539864	3741252.45248	-420	2	778083,778085
273	15025580	38431488	3741149.50880137	-420	4	778083,778084,-780426,-780427
275	15028580	38431488	3741583.43300918	-420	4	778084,778085,-780429,-780430
285	-27024420	38433472.0531267	3740860.21436	-420	1	778086
290	-14028480	38431485.9633607	3741383.19852	-480	2	778087,778089
291	15026520	38431488	3741369.94424324	-480	4	778087,778088,-780427,-780428
293	15027520	38431488	3741385.5561269	-480	4	778088,778089,-780428,-780429
297	1000044	38431488	3741644.6906	-408.851826569115	3	-778315,-780161,-780430
298	1000045	38433798.33	3741644.6906	-372.095494693782	3	-778315,-778577,-780705
304	1000046	38433798.33	3739683.5	-267.407012201761	3	-778579,-778841,-780981
310	1000047	38433798.33	3737722.3094	-137.646288594586	3	-778843,-779105,-781260
316	1000048	38431488	3737722.3094	-51.3559173576425	3	-779107,-779369,-781542
320	1000049	38429177.67	3737722.3094	-89.0467207153657	3	-779370,-779632,-781823
322	1000050	38429177.67	3739683.5	-118.273269871413	3	-779632,-779894,-782106
326	1000051	38429177.67	3741644.6906	-167.424594182995	3	-779895,-780157,-782388
337	1000043	38431488	3739683.5	-220.03835465539	8	-780423,-780702,-780980,-781259,-781539,-781821,-782104,-782387
