ID	Node_ID	X	Y	Z	Arc_Num	Arc_IDs
2	4999940	38429947.78	3737851.97366693	-60	1	778061
3	-5001060	38429948.9991849	3737853.05544	-60	1	778061
4	-5002060	38430052.5821034	3737983.80148	-60	1	778061
5	6001940	38430101.802	3738037.3229355	-60	1	778061
6	-6003060	38430190.9524173	3738114.54752	-60	1	778061
7	7002940	38430255.824	3738169.65189268	-60	1	778061
8	-7004060	38430341.5987032	3738245.29356	-60	1	778061
9	8003940	38430409.846	3738305.97146612	-60	1	778061
10	9003940	38430563.868	3738328.75329434	-60	1	778061
11	-9005060	38430631.6507976	3738376.0396	-60	1	778061
12	10004940	38430717.89	3738464.03052164	-60	1	778061
13	-10006060	38430757.7137894	3738506.78564	-60	1	778061
14	-10007060	38430839.8320486	3738637.53168	-60	1	778061
15	11006940	38430871.912	3738667.52721334	-60	1	778061
16	12006940	38431025.934	3738747.02332813	-60	1	778061
17	13006940	38431179.956	3738756.06230135	-60	1	778061
18	14006940	38431333.978	3738653.59545163	-60	1	778061
19	-14007060	38431380.1854206	3738637.53168	-60	1	778061
22	16005940	38431642.022	3738514.44212332	-60	1	778062
23	-16006060	38431647.9525768	3738506.78564	-60	1	778062
24	-16005060	38431743.6199332	3738376.0396	-60	1	778062
25	-16004060	38431758.188362	3738245.29356	-60	1	778062
26	17002940	38431796.044	3738194.49884501	-60	1	778062
27	-17003060	38431877.0768166	3738114.54752	-60	1	778062
28	-17002060	38431877.5610511	3737983.80148	-60	1	778062
29	-17001060	38431875.2943627	3737853.05544	-60	1	778062
32	-16120	38429244.5546112	3739814.24604	-120	1	778063
33	1015880	38429331.692	3739821.42601058	-120	1	778063
34	2015880	38429485.714	3739815.75067057	-120	1	778063
35	-2016120	38429488.4484399	3739814.24604	-120	1	778063
36	3014880	38429639.736	3739740.26409025	-120	1	778063
39	4013880	38429793.758	3739603.93376785	-120	1	778064
40	-4014120	38429870.8399602	3739552.75396	-120	1	778064
41	5012880	38429947.78	3739485.29097147	-120	1	778064
42	6012880	38430101.802	3739468.11697255	-120	1	778064
43	7012880	38430255.824	3739469.2262387	-120	1	778064
44	8012880	38430409.846	3739503.19486381	-120	1	778064
45	9012880	38430563.868	3739461.03448833	-120	1	778064
46	-9013120	38430656.4807397	3739422.00792	-120	1	778064
47	10011880	38430717.89	3739395.93130425	-120	1	778064
48	11011880	38430871.912	3739366.61923583	-120	1	778064
49	12011880	38431025.934	3739331.3302453	-120	1	778064
52	-12012120	38431092.8371669	3739291.26188	-120	1	778065
53	13010880	38431179.956	3739230.16809292	-120	1	778065
54	-13011120	38431298.6454191	3739160.51584	-120	1	778065
55	14009880	38431333.978	3739134.00548047	-120	1	778065
58	-15010120	38431488.4673246	3739029.7698	-120	1	778066
59	16008880	38431642.022	3738972.89860126	-120	1	778066
60	-16009120	38431737.4047471	3738899.02376	-120	1	778066
61	17007880	38431796.044	3738859.84578309	-120	1	778066
62	18007880	38431950.066	3738853.34105715	-120	1	778066
63	19007880	38432104.088	3738791.07513709	-120	1	778066
64	-19008120	38432156.2916313	3738768.27772	-120	1	778066
65	20006880	38432258.11	3738693.32909987	-120	1	778066
66	-20007120	38432329.9165849	3738637.53168	-120	1	778066
67	21005880	38432412.132	3738581.76302175	-120	1	778066
68	-21006120	38432554.4167791	3738506.78564	-120	1	778066
69	22004880	38432566.154	3738498.65970696	-120	1	778066
70	23004880	38432720.176	3738413.13699308	-120	1	778066
71	-23005120	38432764.91985	3738376.0396	-120	1	778066
72	-23004120	38432830.3707962	3738245.29356	-120	1	778066
73	24002880	38432874.198	3738205.46445057	-120	1	778066
74	-24003120	38432966.5108639	3738114.54752	-120	1	778066
75	-24002120	38433006.0468204	3737983.80148	-120	1	778066
76	25000880	38433028.22	3737962.67370569	-120	1	778066
77	-25001120	38433141.3015828	3737853.05544	-120	1	778066
78	25999880	38433182.242	3737793.34074407	-120	1	778066
81	2028820	38429485.714	3741527.64000633	-180	1	778067
82	-2029180	38429501.4388297	3741513.94456	-180	1	778067
83	3027820	38429639.736	3741394.82444212	-180	1	778067
84	-3028180	38429652.9516644	3741383.19852	-180	1	778067
85	4026820	38429793.758	3741261.36051407	-180	1	778067
86	-4027180	38429801.5003122	3741252.45248	-180	1	778067
87	5025820	38429947.78	3741125.96224137	-180	1	778067
88	-5026180	38429952.5747642	3741121.70644	-180	1	778067
89	6024820	38430101.802	3740992.28210432	-180	1	778067
90	-6025180	38430103.2725062	3740990.9604	-180	1	778067
91	-6024180	38430121.7018018	3740860.21436	-180	1	778067
92	7022820	38430255.824	3740745.49250982	-180	1	778067
93	-7023180	38430267.1605947	3740729.46832	-180	1	778067
94	8021820	38430409.846	3740608.28878255	-180	1	778067
95	-8022180	38430420.7196841	3740598.72228	-180	1	778067
98	-8021180	38430547.5554123	3740467.97624	-180	1	778068
99	9019820	38430563.868	3740444.97309337	-180	1	778068
100	-9020180	38430684.3922933	3740337.2302	-180	1	778068
101	10018820	38430717.89	3740296.7362476	-180	1	778068
102	-10019180	38430789.2689375	3740206.48416	-180	1	778068
103	-10018180	38430804.0893252	3740075.73812	-180	1	778068
104	11016820	38430871.912	3740023.55918515	-180	1	778068
105	-11017180	38430996.5170747	3739944.99208	-180	1	778068
106	12015820	38431025.934	3739926.33318283	-180	1	778068
107	-12016180	38431104.4030875	3739814.24604	-180	1	778068
108	13014820	38431179.956	3739708.15880079	-180	1	778068
111	-13014180	38431306.9264601	3739552.75396	-180	1	778069
114	14012820	38431333.978	3739437.68277612	-180	1	778070
115	-14013180	38431399.6151443	3739422.00792	-180	1	778070
118	16011820	38431642.022	3739412.49771748	-180	1	778071
119	-16012180	38431720.9431239	3739291.26188	-180	1	778071
120	17010820	38431796.044	3739227.68747557	-180	1	778071
121	-17011180	38431910.9339294	3739160.51584	-180	1	778071
122	18009820	38431950.066	3739144.06002749	-180	1	778071
123	-18011180	38432027.8685889	3739160.51584	-180	1	778071
126	19010820	38432104.088	3739176.18123113	-180	1	778072
127	-19011180	38432133.6866672	3739160.51584	-180	1	778072
128	20009820	38432258.11	3739067.32645569	-180	1	778072
129	-20010180	38432314.4955151	3739029.7698	-180	1	778072
130	21008820	38432412.132	3738986.7507514	-180	1	778072
131	22008820	38432566.154	3738933.99246077	-180	1	778072
132	-22009180	38432712.1926838	3738899.02376	-180	1	778072
133	23007820	38432720.176	3738896.66040468	-180	1	778072
134	24007820	38432874.198	3738842.02892383	-180	1	778072
135	25007820	38433028.22	3738875.21551419	-180	1	778072
136	-25009180	38433130.3971023	3738899.02376	-180	1	778072
137	26008820	38433182.242	3738904.57397408	-180	1	778072
138	27008820	38433336.264	3738913.98764233	-180	1	778072
139	-27009180	38433359.5045662	3738899.02376	-180	1	778072
140	28007820	38433490.286	3738815.25386124	-180	1	778072
141	-28008180	38433556.0196986	3738768.27772	-180	1	778072
142	29006820	38433644.308	3738705.20990025	-180	1	778072
145	-7029240	38430335.292849	3741513.94456	-240	1	778073
146	-7028240	38430352.4631981	3741383.19852	-240	1	778073
147	-7027240	38430374.0602241	3741252.45248	-240	1	778073
148	-7026240	38430400.2485318	3741121.70644	-240	1	778073
149	8024760	38430409.846	3741080.44575885	-240	1	778073
150	-8025240	38430469.4129601	3740990.9604	-240	1	778073
151	9023760	38430563.868	3740870.78094036	-240	1	778073
152	-9024240	38430571.0864464	3740860.21436	-240	1	778073
153	-9023240	38430683.5618291	3740729.46832	-240	1	778073
154	10021760	38430717.89	3740694.27973558	-240	1	778073
155	-10022240	38430770.2845873	3740598.72228	-240	1	778073
156	-10021240	38430847.2649892	3740467.97624	-240	1	778073
157	11019760	38430871.912	3740427.81753969	-240	1	778073
158	-11020240	38430958.140995	3740337.2302	-240	1	778073
159	12018760	38431025.934	3740322.81131898	-240	1	778073
160	-12019240	38431150.1056667	3740206.48416	-240	1	778073
161	13017760	38431179.956	3740167.83804941	-240	1	778073
162	14017760	38431333.978	3740116.61634497	-240	1	778073
163	-14018240	38431405.7648569	3740075.73812	-240	1	778073
164	-14017240	38431455.07744	3739944.99208	-240	1	778073
165	-14016240	38431423.9910475	3739814.24604	-240	1	778073
170	16014760	38431642.022	3739760.85619184	-240	1	778075
173	17013760	38431796.044	3739655.29044961	-240	1	778076
174	18013760	38431950.066	3739621.14323633	-240	1	778076
175	-18014240	38432085.1615106	3739552.75396	-240	1	778076
176	19012760	38432104.088	3739535.62078798	-240	1	778076
177	-19013240	38432227.4516337	3739422.00792	-240	1	778076
178	20011760	38432258.11	3739408.31278399	-240	1	778076
179	21011760	38432412.132	3739403.25122039	-240	1	778076
180	-21012240	38432510.1694526	3739291.26188	-240	1	778076
181	22010760	38432566.154	3739258.65729461	-240	1	778076
182	-22012240	38432681.0268824	3739291.26188	-240	1	778076
183	23011760	38432720.176	3739311.41802047	-240	1	778076
184	-23012240	38432799.3501022	3739291.26188	-240	1	778076
185	24010760	38432874.198	3739275.8882294	-240	1	778076
186	-24012240	38432944.6826494	3739291.26188	-240	1	778076
187	25011760	38433028.22	3739323.19418741	-240	1	778076
188	26011760	38433182.242	3739365.4465991	-240	1	778076
189	-26013240	38433270.5626172	3739422.00792	-240	1	778076
190	27012760	38433336.264	3739442.28773415	-240	1	778076
191	-27013240	38433365.6360011	3739422.00792	-240	1	778076
192	28011760	38433490.286	3739339.98339441	-240	1	778076
193	29011760	38433644.308	3739340.07793873	-240	1	778076
