ID	Pol_ID	Arc_Num	ArcIds	OuterPol_ID	InnerPol_ID	LX	LY	RX	RY
0	-2070466094	3	 778061,-782194,-780021	NULL	NULL	38429893.7934093	3737722.3094	38431488	3738756.06230135
2	-994963050	5	 -780022,-782475,778065,-782193,778061	NULL	NULL	38429177.67	3737722.3094	38431488	3739314.7552261
4	1125611908	3	 778062,-779759,-782194	NULL	NULL	38431488	3737722.3094	38431877.5610511	3738544.35155832
5	1762647496	4	 -782193,778066,-779758,778062	NULL	NULL	38431488	3737722.3094	38433254.8715505	3739030.09812105
10	1650532980	3	 778063,-782758,-780546	NULL	NULL	38429177.67	3739683.5	38429728.7244396	3739821.42601058
12	-1319970560	5	 -780547,-783040,778068,-782757,778063	NULL	NULL	38429177.67	3739683.5	38431226.7382012	3741644.6906
14	1318314624	4	 778064,-782475,-780284,-782758	NULL	NULL	38429177.67	3737722.3094	38431053.6097304	3739683.5
15	395969056	4	 -782757,778069,-782474,778064	NULL	NULL	38429728.7244396	3739314.7552261	38431311.4267615	3739683.5
19	-15507392	4	 -782474,778070,-782192,778065	NULL	NULL	38431053.6097304	3739030.09812105	38431488	3739533.61068739
23	74557696	5	 -782192,778071,-781912,-779757,778066	NULL	NULL	38431488	3737722.3094	38433798.33	3739412.49771748
28	1430197824	3	 778067,-783040,-780809	NULL	NULL	38429177.67	3740546.42782993	38430471.450128	3741644.6906
30	974269194	5	 -780810,778073,-781075,-783039,778067	NULL	NULL	38429388.1101036	3739683.5	38431488	3741644.6906
33	-1474963920	3	 -783039,-782756,778068	NULL	NULL	38430471.450128	3739683.5	38431488	3740546.42782993
37	34491668	3	 -782756,-782473,778069	NULL	NULL	38431226.7382012	3739533.61068739	38431488	3739683.5
41	-333076582	3	 -782473,-782191,778070	NULL	NULL	38431311.4267615	3739411.96461044	38431488	3739683.5
45	-1729538593	3	 -782191,-781911,778071	NULL	NULL	38431488	3739144.06002749	38432089.230968	3739683.5
48	949523392	3	 778072,-779495,-781912	NULL	NULL	38432089.230968	3737722.3094	38433798.33	3739176.18123113
49	6467584	5	 -781911,-781632,778076,-779494,778072	NULL	NULL	38431488	3738702.35243685	38433798.33	3739683.5
56	807638540	4	 -780811,778077,-781076,778073	NULL	NULL	38430261.8736488	3739756.84372718	38431488	3741644.6906
58	-1158377844	3	 778074,-781354,-781075	NULL	NULL	38431488	3739683.5	38431577.136186	3739759.16583569
60	-1374629808	4	 -781076,778078,-781355,778074	NULL	NULL	38431488	3739756.84372718	38431964.2268899	3740269.99394391
62	417370496	3	 778075,-781632,-781354	NULL	NULL	38431488	3739683.5	38431741.6742824	3739760.85619184
64	-1575487049	5	 -781355,778079,-779231,-781633,778075	NULL	NULL	38431577.136186	3739683.5	38433798.33	3740087.7590019
68	674458700	3	 -781633,-779493,778076	NULL	NULL	38431741.6742824	3739225.15130791	38433798.33	3739683.5
74	-1852831616	4	 -780812,778080,-781077,778077	NULL	NULL	38430711.0212533	3740269.99394391	38431488	3741644.6906
78	-145675704	4	 -781077,778081,-781356,778078	NULL	NULL	38431488	3740087.7590019	38432461.4149857	3740882.0636604
82	-687627600	4	 -781356,778082,-779230,778079	NULL	NULL	38431964.2268899	3739831.94309322	38433798.33	3740746.75066157
88	-1528409984	6	 -780813,-781082,778085,778083,-781078,778080	NULL	NULL	38431084.8144506	3740882.0636604	38431488	3741644.6906
92	-873003056	6	 -781078,778084,-781082,-778967,-781357,778081	NULL	NULL	38431488	3740373.87065128	38433798.33	3741644.6906
96	-1700901870	3	 -781357,-779229,778082	NULL	NULL	38432461.4149857	3740509.81153121	38433798.33	3741644.6906
101	-2087029873	6	 778085,-781081,778089,778087,-781079,778083	NULL	NULL	38431345.4349741	3741149.50880137	38431488	3741583.43300918
105	1487113056	4	 -781079,778088,-781081,778084	NULL	NULL	38431488	3741143.26243467	38431778.020655	3741583.43300918
110	778086	1	 778086	NULL	NULL	38433472.0531267	3740859.5973066	38433491.1986995	3740862.36602874
112	-1663388392	3	 778089,-781080,778087	NULL	NULL	38431485.9633607	3741369.94424324	38431488	3741385.5561269
116	2136380992	2	 -781080,778088	NULL	NULL	38431488	3741369.94424324	38431491.3891324	3741385.5561269
